Cleaned Tweet,Original Tweet,Predicted Label,Actual Label
"glad i went out, glad i didnt leave early, and glad to be afterpartying it up @ beth  im back","Glad I went out, glad I didn`t leave early, and glad to be afterpartying it up @ Beth`s  I`m back!",0,1
is texting,is texting,-1,0
on my way to school of my last friday of high school ever  and i dont even get to see holly gabbie and hannah,on my way to school of my last friday of high school ever!  and i don`t even get to see holly Gabbie and hannah,0,-1
 i cant get through, i cant get through,0,-1
no clubs...no parties...ive spent my friday and saturday night workin on music and am quit content,no clubs...no parties...ive spent my friday and saturday night workin on music and am quit content,-1,0
whaaaat a strong rain just came over u here in santa clara. i wish i could sleep but i got to attend to an important meeting,Whaaaat a strong rain just came over us here in Santa Clara. I wish I could sleep but I got to attend to an important meeting,1,-1
won a gps at post prom,Won a gps at post prom,0,1
watching one of my fav movie sparkle  + go get food later,Watching one of my fav movies Sparkle  + go get food later!,0,1
" hey, thats my bug and my martini glass . . ."," Hey, that`s my Bug! And my martini glasses . . .",1,0
for those of u who heart break a little more this time of year know that you are loved and next week is a new week.,For those of us who`s hearts break a little more this time of year know that you are loved and next week is a new week.,1,0
 lol...i think it safe to say that we are not alone in our thinking, LOL...I think it`s safe to say that we are not alone in our thinking!,0,1
had a great weekend with john-back to work for 3 day then going to illinois on thurs & fri for more gig with john,Had a great weekend with John-back to work for 3 days then going to Illinois on Thurs & Fri for more Gigs with John,0,1
"'the things, you say, your purple prose just give you away' what the hell is that even supposed to mean? casino: where music go to die","'The things, you say, your purple prose just gives you away' what the hell is that even supposed to mean? Casino: where music goes to die",0,-1
im so getting the cold,I`m so getting the cold,-1,0
im sad twit  im going to miss  musiq soulchild and anthony hamilton ugggghhhh i love them,I`m sad Twits!  I`m going to miss  musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them!,-1,0
at school. blagh. yay im getting the iphone in august,At school. Blagh. Yay I`m getting the IPhone in August!!,0,1
oh.... great.  i think im getting sick.,Oh.... great.  I think I`m getting sick.,-1,0
" awe i am sorry, probably true."," awe I am sorry, probably true.",-1,1
  i have no idea whether or not to drink anymore...,  I have no idea whether or not to drink anymore...,-1,0
 heeeeey baby ? where are you?, heeeeey baby ? where are you?,1,0
home alone on a friday night  doesnt get sadder than that folk,home alone on a friday night  doesnt get sadder than that folks,0,-1
 - before prom. this is when all the chaos began,http://twitpic.com/4wkzi - before prom. this is when all the chaos began,0,-1
well on a normal day id already be done with work...unfortunately this is not a normal day. which mean ill be in the office till late.,Well on a normal day I`d already be done with work...Unfortunately this is not a normal day. Which means I`ll be in the office till late.,0,-1
" last night after long drive, slept really well, now time for dinos wasstraat"," last night after long drive, slept really well, now time for dino`s wasstraat",0,1
 cool. im tempted too see it again  i feel sorry for jb though because there were hardly any people, cool. I`m tempted too see it again  I feel sorry for JB though because there were hardly any people,-1,0
  haha  go martin  his fixed our ski like a million time ...,  Haha ! Go Martin ! His fixed our Ski like a million times ...,0,1
my bff rocking hotel california now. no  song  done stay the same. whats next? hmmm.. careless whisper,My BFF rocking Hotel California now. No  songs!  done stay the same. What`s next? Hmmm.. Careless whisper!,0,-1
 yes but they hate it when we do it...silly boy, yes but they hate it when we do it...silly boys,0,-1
"btw, short notice i know, but were rsvping no for your party- thanks so much for the invitation, though  im out for 2nite too","btw, short notice I know, but we`re RSVPing no for your party- thanks so much for the invitation, though!  I`m out for 2nite too",0,1
 im sorry but lol what is this about? waitt... you think your mum would still let you do bday stuff this weekend?, i`m sorry but LOL! what is this about? waitt... you think your mum would still let you do bday stuff this weekend?,-1,0
